1. Faixa etária:;2. Gênero:;3. Universidade pública do Estado do Paraná em que atua:;5. Área principal de atuação docente:;7. Tempo de docência no Ensino Superior (não somente na atual IES):;8. Maior titulação acadêmica concluída:;9. Minha formação inicial abordou adequadamente o uso pedagógico de tecnologias digitais educacionais.;10. Sinto-me preparado(a) para incorporar novas tecnologias digitais educacionais às minhas práticas docentes.;11. Já tive contato formativo com o tema Inteligência Artificial aplicada à educação.;12. Nos últimos 24 meses, participei de formações continuadas em tecnologias educacionais.;13. Tenho uma compreensão clara do que é Inteligência Artificial e de como ela funciona em termos gerais.;14. Conheço a diferença entre Inteligência Artificial tradicional (preditiva) e Inteligência Artificial generativa (criativa).;15. Já utilizei ferramentas de IA generativa em contextos pessoais ou profissionais.;16. Sinto-me confiante para avaliar criticamente respostas ou conteúdos gerados por ferramentas de IA.;17. Considero que a IA terá impacto significativo no ensino superior nos próximos anos.;18. Quais ferramentas de IA você já utilizou ao menos uma vez?  ;19. Para quais finalidades você usa IA?  ;20. Utilizo ferramentas de IA para apoiar o planejamento de aulas e atividades didáticas.;21. Utilizo IA para criar ou adaptar materiais didáticos considerando o perfil dos estudantes.;22. Integro a IA em atividades de ensino alinhadas a objetivos pedagógicos claros.;23. Utilizo IA para apoiar processos de avaliação formativa (feedback, rubricas, análise de produções).;24. Consigo identificar limites, riscos e implicações éticas do uso da IA em processos avaliativos.;25. Considero aspectos éticos (viés, privacidade, autoria) ao utilizar IA em contextos educacionais.;26. Discuto com meus estudantes o uso responsável e crítico da IA.;27. Busco ativamente atualizar-me sobre IA e suas implicações para a educação.;28. Compartilho, discuto ou oriento colegas sobre práticas pedagógicas envolvendo IA.;29. A formação docente em IA generativa pode contribuir para a melhoria da qualidade do ensino superior.;30. O uso pedagógico adequado da IA pode tornar as aulas mais engajadoras e significativas.;31. A formação em IA pode apoiar práticas pedagógicas mais inclusivas e personalizadas.;32. Sem formação adequada, o uso da IA pode gerar impactos negativos na educação superior.;33. Existe alguma orientação/política institucional (ou do curso/departamento) sobre uso de IA por docentes e estudantes na IES onde atua?  ;"34. Na sua opinião, qual é a principal dificuldade para a adoção, o uso, de IA no ensino superior? 
(Marque até 2 opções)";35. Se você pudesse participar de uma formação docente, qual seria o seu formato preferido?;36. Qual a quantidade de horas que você acha ideal ter para uma formação docente (independente do formato)?;37. Quais são, em sua opinião, as principais dificuldades para o uso pedagógico da IA no ensino superior?;38. Quais conhecimentos ou competências você considera prioritários em uma formação docente sobre IA e IA generativa, no contexto universitário?;39. Como você acredita que uma formação em IA pode impactar sua prática docente e a aprendizagem dos estudantes universitários?
41 a 50 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;4;4;Apenas 1;3;3;4;5;5;ChatGPT, Gemini, https://www.naturalreaders.com/online/  para auxiliar uma aluna com deficiencia visual;Pesquisa acadêmica, Comunicação administrativa;0;0;0;0;4;3;3;5;5;3;3;4;5;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso;Totalmente presencial;20 horas;O fato de que as IAs de texto são usadas como atalho para a escrita de trabalhos acadêmicos, e o processo de aprendizagem, leitura e reflexão não acontece;Acho que as IAs que facilitam a inclusão de alunos com alguma deficiência são bem necessários;As IAs já estão impactando (negativamente) na aprendizagem, então precisamos entender essa tecnologia.
51 a 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;4;2;Apenas 1;2;2;4;3;4;ChatGPT, Gemini;Elaboração de atividades/exercícios;1;0;0;0;0;0;1;1;0;3;2;2;3;Não existe;Falta de formação docente específica;Totalmente remoto (online);20 horas;A PRÓPRIA PEDAGOGIA DO ENSINO SUPERIOR, QUE É APENAS A REPETIÇÃO, ENTRE AS GERAÇÕES DE PROFESSORES, DAS PRÁTICAS E MÉTODOS VIVENCIADOS EM SALA DE AULA ENQUANTO ESTUDANTE. NÃO HÁ FORMAÇÃO PEDAGÓCIA ESPECÍFICA PARA PROFESSOR UNIVERSITÁRIO.;CLAREZA SOBRE OS OBJETIVOS PEDAGÓGICOS E FILOSOFIA DA APRENDIZAGEM;SEM CLAREZA DO QUE SEJA IA, NÃO HÁ COMO RESPONDER A ESSA QUESTÃO
51 a 60 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;1;3;3;Nenhuma;3;5;5;4;5;ChatGPT, Gemini, Claude, Perplexity, Gamma;Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes;3;4;3;1;1;4;2;2;3;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;menos de 20 Horas;Falta de formação específica.;Uso prático.;"Em função do avanço do conhecimento mundial, o auxílio da IA para ""filtrar"", distinguir o que realmente é ciência, seria uma excelente ferramenta.
"
51 a 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;2;3;2;Nenhuma;3;4;2;2;4;Nenhuma;Ainda não utilizei IA;0;0;0;0;3;3;3;3;3;3;3;3;4;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Híbrido;mais de 40 horas;Rastros históricos de apropriação superficial de conteúdos, se tranferidos para a IA podem arruinar de vez os complexos processos de produção do conchecimento, dada a condição pcnoléptica da geração de conteúdos IA ser baseada em estímulo-resposta, com pouca ou nenhuma associação intermediária.;São muitas, as principais estão relacionadas ao compreensão profunda das relações de poder e sistemas de colonização da informação etc.;Debate crítico e aprofundado da emergência das tecnologias educacionais, suas relações com o cartesianismo e colonização.
51 a 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;3;2;Apenas 1;4;4;4;4;5;ChatGPT, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios;1;1;0;0;1;1;1;1;1;4;3;3;4;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Híbrido;30 horas;Formação docente. Compreensão dos estudantes das questões ética e limites da IA. Cuidado com o uso exclusivo da IA em detrimento de outras metodologias, didáticas e/ou dinâmicas de ensino e produção (de textos, de análises, de atividades, etc).;Teóricos e práticos.;Incrementar a amplitude de conteúdos acessados em determinado assunto/teoria.
51 a 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;3;5;4;Apenas 1;3;3;3;3;5;ChatGPT, Gemini;Pesquisa acadêmica, Orientação de estudantes;1;1;1;1;1;1;2;1;1;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);mais de 40 horas;A formação dos docentes em IA e a segurança e ética quanto ao uso da IA, principalmente para aqueles docentes que são resistentes às novas tecnologias.;Conhecimentos tecnológicos;"Impactos positivos no aprendizado, possibilitando uma maior autonomia do estudante universitário diante dos conteúdos formativos apresentados pelo docente. Elaboração de aulas mais criativas e participativas por parte do docente. 

"
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;5;5;2 - 3;4;4;4;5;5;ChatGPT, Gemini, Notebook LM;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;4;4;5;5;4;6;2;5;3;5;5;5;5;Não sei informar;Falta de formação docente específica;Totalmente remoto (online);40 horas;Formação docente adequada e como ensinar o estudante a usar melhor a IA. ;Ética. ;Muito. Ajuda em diversos contextos, principalmente os mais burocráicos. 
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;3;2;Apenas 1;4;4;5;5;5;ChatGPT, Gemini, SUNO, Moises, Deepseek, Elevenlabs;Planejamento de aula, Criação de materiais didáticos, Avaliação/feedback, Pesquisa acadêmica, Comunicação administrativa;3;3;3;4;3;6;6;3;6;5;4;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Tradicionalismo, chauvinismo, tempo, confiabilidade;"Potencias e possibilidades quanto ao uso das ferramentas; limitação das ferramentas";Melhorar qualidade de aula e economia de tempo geral (preparação e desenvolvimento das atividades da disciplina)
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;6 a 10 anos;Doutorado;2;3;1;Nenhuma;3;2;4;4;3;ChatGPT, Notebooklm;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;2;2;2;1;5;5;4;2;2;3;2;2;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Totalmente remoto (online);30 horas;Questões envolvendo direitos autorais, controle da IA por empresas privadas.;Pensar estratégias para superar as questões que envolvem direitos autorais e o controle das empresas privadas. É preciso ter IAs adequadas ao trabalho acadêmico, para além daquelas formatas pelos grandes serviços privados.;Acredito que a visão política sobre a situação é fundamental. Observar a IA como uma ferramenta qualquer é replicar a estratégia de marketing das grandes empresas que fornecem o serviço - da mesma forma como Google, Microsoft e outros já detém os essenciais serviços de comunicação e AVA das universidades. Qualquer trabalho com IA que ignore essa dimensão, que considero urgente no cenário geopolítico atual, tende a naturalizar o uso de ferramentas voltadas para estratégias comerciais e políticas das grandes empresas. 
41 a 50 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;2;2;Nenhuma;2;2;4;1;5;ChatGPT, Gemini;Criação de materiais didáticos, Pesquisa acadêmica;2;2;1;1;1;4;1;1;1;5;3;3;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);mais de 40 horas;;;
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Exatas e Tecnológicas;6 a 10 anos;Doutorado;1;4;4;Nenhuma;4;4;4;4;5;ChatGPT, Gemini, Perplexity, DALL·E/Midjourney/Leonardo;Elaboração de atividades/exercícios, Pesquisa acadêmica;5;5;5;4;5;5;5;5;5;4;3;2;4;Não sei informar;Questões éticas e insegurança quanto ao uso, preço das interfaces quando não gratuitas;Totalmente remoto (online);20 horas;O uso indiscriminado em sala de aula, para realizar atividades, ou mesmo responder às questões levantadas pelo professor. Para além disso, acho que falta uma discussão sobre ética do uso de IA em diversos contextos, talvez por conta da novidade do acesso irrestrito.;Impactos éticos da IA;Subsidiando alternativas de uso responsável alinhadas com os objetivos de ensino e de aprendizagem
51 a 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;4;4;2 - 3;2;4;5;4;5;ChatGPT, Copilot, Gemini, Perplexity;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;2;2;2;2;2;3;3;3;0;5;5;5;5;Não existe;Falta de formação docente específica, Resistência institucional ou pessoal;Híbrido;40 horas;"São a falta de conhecimento das inúmeras ferramentas e usos possíveis, por parte dos docentes; falta de orientação institucional quanto ao tema; resistência das/os docentes.";"Considero fundamental que sejam apresentadas e demonstradas algumas IA's generativas que podem ser utilizadas por docentes da área de Humanas; considero necessário que haja formação prática, ou seja, atividades e tarefas, para que possamos testar as ferramentas; tbm considero relevante que sejam apresentados casos/exemplos de profs que já usam no ensino superior, para que leigos como eu possam ter a dimensão mais precisa das possibilidades de uso.";"Creio que aprender sobre usos de IA poderão impactar em minha prática tanto no que diz respeito às aulas, preparação de aulas etc, como no que se refere à orientação de trabalhos acadêmicos e à organização das diversas atividades docentes. 
Desta forma, poderei, ainda, orientar e instruir os/as estudantes universitários quanto à forma ética e eficiente de usar a IA."
51 a 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;2;4;2 - 3;3;5;4;4;5;ChatGPT, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;4;4;4;4;4;4;4;4;4;5;5;5;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;"Falta de habilidade e risco de segurança; superficialidade";Domínio de ferramentas e desenvolvimento do pensamento crítico do aluno;"Otimização de tempo; criatividade e acesso ao conhecimento dos estudantes de modo mais rápido."
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;2 a 5 anos;Doutorado;2;2;1;Nenhuma;3;1;4;1;5;ChatGPT;Planejamento de aula, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;1;1;1;1;3;2;2;5;5;5;5;Não sei informar;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Conhecimento da ferramenta e como usa-la ;saber o quanto é possível confiar nas informações e na criação do conteúdo ;Ajuda a interar os alunos de forma mais didática e compreensiva
Até 30 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;2 a 5 anos;Mestrado;1;2;1;Nenhuma;5;5;5;5;5;ChatGPT;Elaboração de atividades/exercícios;1;0;1;0;5;5;6;5;4;3;2;3;5;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);30 horas;;;
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;2 a 5 anos;Doutorado;1;4;2;Nenhuma;3;1;3;3;5;ChatGPT, Gemini;Elaboração de atividades/exercícios, Pesquisa acadêmica;2;4;3;0;3;4;2;3;4;5;5;5;5;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);menos de 20 Horas;;;
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Linguagens, Letras e Artes;Mais de 20 anos;Doutorado;1;3;1;Nenhuma;5;2;2;1;5;ChatGPT, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;1;1;1;6;6;3;1;1;3;3;3;5;Não existe;Falta de formação docente específica;Totalmente remoto (online);mais de 40 horas;Alguns instrumentos não são intuitivos, não sei empregar todos os recursos ou tenho dificuldades ;Informática ;Pode ajudar nas discussões,  nas pesquisas...é sempre um recurso interessante para o debate didático 
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;6 a 10 anos;Mestrado;1;4;2;Nenhuma;3;5;5;4;4;ChatGPT, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;2;1;1;1;5;4;6;4;4;5;5;5;5;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;20 horas;Fazer com que o aluno utilize como conhecimento ;Ética ;Não sei responder 
31 a 40 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Exatas e Tecnológicas;Menos de 2 anos;Doutorado;1;5;4;Apenas 1;5;5;5;5;5;ChatGPT, Gemini, Claude, Grok, Manus;Elaboração de atividades/exercícios, Pesquisa acadêmica;3;0;3;3;4;5;5;5;4;5;5;4;4;Não existe;Falta de formação docente específica, Resistência institucional ou pessoal;Híbrido;20 horas;Resistência dos profissionais, principalmente dos que não são afetos à área de tecnologia.;"- Introdução teórico/prática sobre os alicerces da IA; 
- Um módulo ""desmistificando a IA"", para quebrar pré-conceitos existentes, principalmente de profissionais não afetos a área;
- Engenharia de prompt
- Pensamento crítico acerca de conteúdo gerado por IA";"O principal impacto seria no uso consciente das ferramentas disponíveis, principalmente para aumento de produtividade, sem deixar de lado a conscientização sobre ""até que ponto"" as ferramentas são benéficas, ao invés de piorarem a formação pedagógica."
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;3;4;5;Nenhuma;4;4;4;4;3;ChatGPT, Copilot, Gemini, DeepSeek;Comunicação administrativa;1;1;1;1;1;1;1;1;1;2;1;1;4;Não existe;Questões éticas e insegurança quanto ao uso;Totalmente presencial;40 horas;Falta de legislação e regulamentação das IA produzidas pelas  big techs em relação a propriedade intelectual. ;Impactos sobre a propriedade intelectual e sobre o meio ambiente devido aos data centers ;Para responder a questão se faz necessário mais dados conclusivos sobre impactos do uso da IA na sociedade e no meio educacional. 
51 a 60 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;1;2;1;Nenhuma;3;1;4;5;5;ChatGPT, Gemini, Perplexity;Pesquisa acadêmica;2;0;1;0;2;2;3;1;1;4;1;3;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Totalmente remoto (online);30 horas;Conhecimento de como os recursos podem favorecer o desenvolvimento e a aprendizagem ;;Se usada de forma negativa pode impossibilitar o desenvolvimento do pensamento teórico. 
41 a 50 anos;Masculino;Universidade Estadual de Maringá - UEM;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;2;5;4;Apenas 1;5;4;5;5;5;ChatGPT, Copilot, Gemini, Perplexity;Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Comunicação administrativa;5;5;5;5;6;6;6;6;5;5;5;5;5;Sim, mas pouco clara;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;40 horas;Os alunos não podem ter uma preguiça meta cognitiva ao usar IA pra tudo.;Como avaliar os alunos;A implementar IA de forma adequada 
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;3;1;4 - 5;3;3;5;1;5;ChatGPT, Perplexity;Criação de materiais didáticos;0;0;0;0;0;0;0;0;0;4;4;4;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Híbrido;40 horas;Capacitação e ferramentas tecnológicas;Conhecimentos básicos sobre funcionamento da IA e IA generativa, uso ético e responsável dessas ferramentas, aplicações no ensino superior (apoio à elaboração de materiais, avaliação e pesquisa), além de desenvolvimento de pensamento crítico dos estudantes no uso dessas tecnologias.;Pode apoiar a elaboração de materiais didáticos, otimizar atividades de ensino e pesquisa e estimular novas formas de aprendizagem, desde que utilizada de forma crítica, ética e complementar ao trabalho docente.
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;6 a 10 anos;Mestrado;1;4;1;Nenhuma;4;2;5;5;5;ChatGPT, Gemini;Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;0;0;0;2;4;5;6;4;4;5;3;4;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);40 horas;Compreender como professora o que é produção do aluno e o que não é;como me auxiliar na produção de slides a partir dos meus referenciais, como propor aulas com metodologias ativas;ao me adequar a essa nova realidade do mundo atual, as aulas podem ficar mais integradas aos contextos dos alunos
41 a 50 anos;Feminino;Universidade Estadual de Maringá - UEM;Linguagens, Letras e Artes;11 a 20 anos;Doutorado;1;1;4;Apenas 1;2;1;2;1;5;ChatGPT, Notebook LM;Planejamento de aula, Pesquisa acadêmica;1;0;0;0;0;0;1;2;0;5;5;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);mais de 40 horas;Me sinto insegura na identificação de uma atividade ter sido feita por IA.;O conhecimento sobre as IA, como funcionam, como utilizá-las em sala de aula, como avaliar os alunos tendo em vista as atividades que podem ser feitas por IA.;Com essa formação, eu saberia como utilizá-la em sala de aula.
